word|definition|sentence
appropriate|to take, make use of|The government decided to _____ the farmer's land without justification.
battery|a device that supplies power|Most cars run on a combination of power from a _____ and gasoline.
compliment|an expression of esteem or approval|I blushed crimson when Emma gave me a _____ on my new haircut.
perplex|be a mystery or bewildering to|But then in September, cases in the state began rising again, which seemed to _____ health officials.
uncanny|surpassing the ordinary or normal|The Dark Sky App tells you the weather where you are with an _____ accuracy.
wistful|showing pensive sadness|As Hina speaks, my parents’ faces relax, grow _____, as they remember when they were young and full of dreams.
agile|moving quickly and lightly|When you think of the Olympics you think of the fastest men on earth, the runners, you think of the strongest men, the weightlifters, and you think of the most _____, the gymnasts.
appease|cause to be more favorably inclined; gain the good will of|In order to have a certain type of success, you’re told you have to _____ and pacify the audience.
benevolent|showing or motivated by sympathy and understanding|She was a warm, _____ woman who tried to make this first day as easy as possible.
blemish|a mark or flaw that spoils the appearance of something|Every _____ disappeared, her skin turning flawlessly smooth.
calamity|an event resulting in great loss and misfortune|A windstorm, lightning fire, landslide, volcanic eruption, or other natural _____ can knock down trees and open up the forest, or prevent open country from turning into forestland.
chronological|relating to or arranged according to the order of time|The book is split into five parts, which proceed roughly in reverse _____ order, beginning in the nineteen-forties and stretching back to the eighteenth century.
clamor|loud and persistent outcry from many people|There was a small _____ of questions, comments, pleas, and thanks from children who had remained still as stones throughout the story.
coherent|marked by an orderly and consistent relation of parts|I had so many questions it was useless to try to sort them into any _____ order.
cultivate|foster the growth of|The leaders of the group clearly valued and wanted to _____ the talent of their female members.
curt|brief and to the point|His morning announcements were short and _____, and he didn’t say anything about the scoreboard.
delegate|give an assignment to or assign a task to|Previously, the federal government would _____ to the individual states how each could organize its voting procedures.
diligent|characterized by care and perseverance in carrying out tasks|He was known as a _____ worker, and his skill and leadership qualities were plain to all his subordinates.
disdain|lack of respect accompanied by a feeling of intense dislike|The eyes of the other sailors are on me, and I can’t tell if their stares hold approval or _____.
dispel|force to go away|For most of us, to _____ the darkness is as simple as turning on a light.
dissent|a difference of opinion|We don’t need to all agree with each other – _____ is a healthy component of the scientific community.
dormant|in a condition of biological rest or suspended animation|He had planted a seed, and though I let that seed lie _____ for a long season, it eventually began to grow.
dubious|not convinced|I must have looked _____, for he said: “Really, I do.”
elaborate|marked by complexity and richness of detail|The streets are crowded with young people in _____ getups—giant lace skirts, _____ umbrellas, ten-inch-tall boots, eyelashes that seem miles long, face masks that glow in the dark.
elated|exultantly proud and joyful; in high spirits|"We're so _____ that you could join us in celebrating the birthday of our beloved daughter."
embellish|add details to|If she sees Teacher there looking so interested, she's going to _____ the story.
